August,181.53,210.61,200.44,192.38,162.61
September,202.39,231.52,222.00,212.73,182.78
October,185.64,206.07,201.85,191.21,169.43
November,168.12,186.96,182.91,172.83,153.33
December,149.14,173.94,168.54,159.73,129.73
,,,,,
January,152.08,177.23,172.62,162.81,131.54
February,152.24,175.07,169.79,161.07,134.69
March,162.73,185.75,179.43,171.48,146.03
April,159.59,180.30,174.40,166.54,144.78
May,155.96,177.18,171.01,161.72,140.90
June,141.66,170.89,154.49,145.22,128.82
July,132.71,157.22,145.66,139.68,119.76
August,141.70,163.21,153.21,149.54,130.18
September,124.76,141.49,134.46,130.26,115.05
October,120.02,132.08,127.27,127.23,112.76
November,117.99,129.09,125.25,125.33,110.73
December,99.57,110.47,106.24,110.46,92.89
,,,,,
January,100.33,119.08,110.65,127.54,89.99
February,110.50,134.94,124.09,144.05,96.89
March,105.89,130.60,120.84,140.99,90.94
April,107.09,134.31,123.50,132.92,90.67
May,110.24,142.56,129.27,134.76,91.20
June,105.79,133.25,125.46,125.44,86.11
July,99.97,135.39,122.47,106.93,77.46
August,102.73,137.68,126.22,108.28,79.22
September,96.52,123.30,118.70,103.10,74.34
October,98.56,127.77,124.20,105.77,72.92
November,97.14,129.41,124.07,103.76,70.20
December,90.04,126.41,117.02,103.71,63.06
,,,,,
January,100.03,146.18,132.86,127.28,67.19
February,121.89,188.62,168.37,160.21,75.40
March,137.47,212.96,194.70,179.75,80.23
April,142.20,199.22,206.99,183.73,77.39
May,180.44,318.50,267.27,209.62,93.60
June,155.38,227.15,222.02,184.21,88.74
July,135.04,190.57,190.41,158.52,79.65
August,132.63,193.46,190.80,158.25,74.45
September,132.51,196.29,189.87,167.77,75.15
October,121.09,169.40,167.66,152.12,74.52
November,118.16,161.38,160.27,149.07,76.04
December,130.02,183.32,177.44,171.12,82.60
,,,,,
,,,,,
January,130.61,184.21,177.80,179.83,83.41
February,130.78,190.59,178.18,177.78,83.36
March,119.93,166.07,157.65,154.84,82.19
April,119.66,158.17,150.35,141.11,88.97
May,114.23,146.33,137.72,124.89,90.74
June,103.84,135.83,124.93,104.09,82.73
July,97.32,125.03,117.60,96.22,77.04
August,101.25,129.45,123.21,101.92,79.29
September,95.82,117.56,111.85,92.76,79.80
October,95.01,115.01,109.72,91.32,80.30
November,98.26,121.74,116.36,96.67,80.16
December,100.73,123.96,117.39,100.28,84.06
,,,,,
January,97.62,123.07,112.96,99.43,82.29
February,92.36,116.92,105.48,91.72,79.23
March,89.40,117.05,105.39,88.90,73.42
April,85.71,114.02,102.11,86.14,69.32
May,89.51,123.95,111.07,96.29,67.94
June,86.40,121.45,107.21,91.69,65.59
July,78.20,107.05,94.84,78.13,61.56
August,77.22,105.28,91.36,76.67,63.07
September,71.94,97.77,84.31,70.43,59.57
October,76.36,103.69,94.20,78.74,58.52
November,88.22,126.76,113.38,98.41,63.06
December,95.62,140.35,124.46,109.47,66.79
,,,,,
January,82.14,130.13,111.11,97.68,53.18
February,76.15,124.73,103.44,91.51,48.86
March,73.49,119.51,100.73,89.93,46.25
April,69.53,112.67,94.61,86.46,44.45
May,69.23,110.31,94.15,87.23,44.32
June,64.56,100.30,86.44,78.32,42.68
July,64.08,101.67,87.35,79.89,40.82
August,57.58,91.87,76.91,70.57,38.25
September,57.30,89.98,75.78,71.14,38.83
October,56.39,90.25,76.65,72.28,36.14
November,52.17,84.01,71.54,68.95,32.81
December,48.27,75.81,66.15,64.39,30.38
,,,,,
January,49.19,75.33,65.98,62.38,32.40
February,49.38,76.70,67.19,62.50,31.58
March,48.51,76.94,66.50,60.35,30.52
April,47.31,78.25,66.13,55.11,28.49
May,49.38,80.92,69.22,57.19,29.55
June,46.53,74.38,63.90,51.86,29.16
July,43.07,69.70,58.72,46.43,27.42
August,42.76,73.50,59.71,46.49,25.81
September,41.17,68.80,58.06,42.42,24.27
October,42.21,62.87,56.40,38.63,23.23
November,44.24,64.89,58.85,42.82,23.67
December,43.35,62.33,56.72,42.21,24.42
,,,,,
January,43.46,62.51,58.25,43.14,22.81
February,44.30,62.67,59.11,43.17,24.37
March,49.49,68.27,64.47,48.70,29.06
April,50.20,69.63,65.29,49.52,29.31
May,47.30,65.95,61.40,45.39,28.31
June,45.56,62.94,58.56,43.00,28.42
July,44.70,60.60,56.48,43.30,28.60
August,42.79,58.10,54.27,40.18,27.88
September,47.96,64.15,60.66,44.53,32.08
October,50.79,67.92,65.73,46.08,33.32
November,54.68,70.70,69.87,49.25,37.89
December,51.69,65.38,64.16,46.55,38.06
,,,,,
January,54.04,67.27,65.57,49.31,41.18
February,54.07,67.47,66.41,48.97,40.67
March,49.61,62.15,61.75,43.77,37.17
April,51.87,64.40,64.69,48.55,37.42
May,53.19,65.73,66.26,51.12,37.80
June,48.90,61.61,61.04,46.88,34.21
July,50.89,64.88,62.95,49.50,35.35
August,52.22,65.65,63.89,52.48,36.30
September,54.10,67.55,66.41,54.86,37.35
October,51.72,66.17,64.29,52.81,35.88
November,49.80,64.39,62.27,50.73,34.11
December,52.44,66.68,64.85,54.79,35.90
,,,,,
January,58.68,73.76,72.73,62.06,39.84
February,59.87,76.53,76.20,65.52,37.05
March,60.80,77.97,78.06,66.97,36.70
April,58.80,75.22,75.44,63.70,36.37
May,59.91,77.17,76.99,65.16,36.56
June,64.28,82.51,82.21,69.61,39.87
July,58.46,76.13,74.94,62.89,36.02
August,56.98,75.35,73.61,61.75,33.91
September,61.47,81.02,80.47,68.90,34.24
October,61.10,83.02,80.55,69.91,31.67
November,67.74,92.83,90.27,79.39,32.71
December,77.72,105.75,104.12,91.76,36.92
,,,,,
January,79.35,108.22,107.16,93.63,36.96
February,89.40,121.56,120.86,106.11,41.24
March,101.44,135.54,135.03,120.12,49.51
April,98.20,129.51,129.53,114.48,50.75
May,99.78,128.87,128.37,114.96,56.07
June,96.29,121.29,121.16,107.23,60.02
July,88.48,110.79,109.93,96.56,57.88
August,85.31,108.94,108.20,94.98,51.97
September,78.79,101.15,99.49,89.48,46.87
October,82.55,106.21,105.05,94.40,47.53
November,85.93,109.00,107.74,97.96,51.45
December,86.85,107.69,105.77,97.57,56.39
,,,,,
January,101.20,126.92,124.20,114.98,63.39
February,97.39,121.31,119.12,109.01,62.98
March,92.76,116.01,113.66,103.92,59.60
April,94.20,117.87,115.42,105.49,60.55
May,90.00,111.81,109.36,99.29,60.08
June,86.04,105.83,103.15,93.27,60.23
July,88.57,107.85,105.00,94.56,64.49
August,95.78,114.14,111.73,100.37,73.59
September,95.98,111.88,109.83,99.53,77.11
October,95.53,112.67,110.63,99.23,75.17
November,103.48,123.95,122.27,110.04,76.79
December,108.01,131.41,128.44,117.36,76.67
,,,,,
January,105.81,126.07,124.53,112.50,79.13
February,104.18,123.82,122.03,110.03,79.08
March,100.09,118.33,117.08,104.91,77.00
April,99.30,116.11,114.60,102.22,79.58
May,100.09,115.01,113.24,101.49,83.91
June,107.03,121.20,119.33,107.32,92.68
July,106.20,120.78,117.63,106.24,92.51
August,107.98,125.22,123.19,111.73,87.44
September,113.20,130.37,128.04,117.14,92.78
October,115.71,136.49,134.29,122.12,91.10
November,114.43,133.32,131.00,119.87,92.59
December,118.16,140.12,137.58,125.93,91.39
,,,,,
January,122.33,142.66,139.86,127.93,99.21
February,138.82,159.90,157.29,143.78,115.45
March,136.17,151.64,149.89,136.41,121.92
April,126.55,142.04,140.70,127.67,111.29
May,126.76,143.60,141.95,129.52,108.88
June,130.51,149.15,146.15,133.65,111.34
July,132.78,151.18,147.36,134.88,115.23
August,131.14,151.03,146.43,133.28,112.56
September,126.69,148.36,143.27,130.26,105.38
October,108.31,130.99,123.59,110.27,88.77
November,107.88,130.45,121.89,107.96,90.76
December,103.07,130.89,118.97,103.46,82.51
,,,,,
January,108.39,142.32,128.30,109.18,82.74
February,107.60,144.55,129.48,107.69,80.22
March,105.87,154.16,128.52,102.81,76.31
April,111.61,181.10,134.88,105.95,75.53
May,123.05,212.05,150.99,118.40,75.62
June,119.05,196.32,149.79,115.42,73.79
July,112.90,187.29,140.90,107.80,71.68
August,117.45,185.39,149.76,116.86,72.35
September,116.40,177.45,148.53,116.16,73.82
October,121.09,178.13,154.57,124.62,73.51
November,119.67,178.33,152.21,126.17,69.48
December,124.96,192.11,158.16,132.84,69.89
,,,,,
January,126.85,207.51,158.90,131.67,70.08
February,123.37,204.71,157.86,124.57,67.88
March,125.30,205.71,164.50,126.21,67.25
April,126.89,199.50,169.24,125.71,71.52
May,128.10,200.33,173.28,127.32,70.61
June,142.20,224.49,190.90,143.20,76.92
July,153.41,235.52,203.21,156.87,85.27
August,157.46,243.98,211.59,163.21,82.68
September,163.61,247.77,222.71,175.15,81.28
October,161.56,230.02,217.64,175.38,85.27
November,173.90,244.02,233.48,190.62,92.04
December,184.26,261.97,248.17,204.25,94.09
,,,,,
January,197.35,279.88,263.77,219.77,101.09
February,216.03,296.44,287.89,247.00,109.35
March,224.33,300.68,292.07,260.98,118.13
April,231.24,312.95,300.12,273.40,117.37
May,227.97,302.17,291.09,268.66,121.98
June,215.58,287.95,274.98,250.59,117.95
July,210.36,285.21,268.02,245.69,112.73
August,212.19,286.97,270.44,249.83,112.07
September,213.04,287.54,274.88,255.64,106.06
October,193.90,257.66,247.82,234.28,98.10
November,193.66,256.99,245.09,236.75,97.24
December,189.02,251.60,236.71,228.79,98.41
,,,,,
January,188.90,255.91,237.21,228.21,96.72
February,182.29,244.14,224.16,215.40,101.93
March,167.77,222.84,201.26,192.03,103.57
April,160.46,214.46,191.45,180.90,101.80
May,157.68,207.32,184.65,174.17,106.88
June,145.31,184.67,168.69,156.17,105.70
July,159.07,202.56,190.45,175.98,107.06
August,148.50,187.14,174.82,160.05,106.52
September,151.28,190.10,178.98,166.53,104.95
October,147.12,181.39,173.32,161.20,104.47
November,136.35,170.08,159.91,148.25,97.67
December,131.31,164.40,152.74,140.69,96.59
,,,,,
January,135.38,169.19,157.29,145.17,99.69
February,131.51,161.70,149.46,136.63,104.03
March,131.38,161.53,149.78,133.61,106.26
April,129.55,161.76,149.81,132.62,101.68
May,126.96,158.35,147.19,130.29,99.18
June,117.58,147.55,138.26,120.01,90.79
July,118.93,147.46,138.39,119.47,95.21
August,116.45,143.26,135.15,116.81,94.01
September,111.82,138.60,132.28,112.65,87.78
October,107.03,133.83,128.70,109.57,83.70
November,100.99,124.65,122.02,102.57,79.71
December,106.56,126.54,125.97,107.40,87.89
,,,,,
January,110.75,132.90,132.73,114.02,87.73
February,137.81,172.22,173.64,148.74,95.90
March,165.03,211.07,214.09,182.97,105.37
April,170.58,220.62,223.48,190.62,105.55
May,163.94,211.66,214.20,181.97,102.99
June,151.92,195.17,197.89,165.34,98.91
July,152.50,194.21,196.90,164.92,101.79
August,163.08,211.60,212.97,183.32,100.25
September,161.79,206.78,210.53,182.15,100.52
October,172.88,222.59,225.29,197.05,104.70
November,162.17,206.41,209.38,181.43,103.06
December,150.66,190.16,193.60,166.58,98.43
,,,,,
January,148.24,185.26,190.00,163.50,98.01
February,141.10,174.11,178.89,151.90,98.36
March,127.04,154.29,160.74,133.55,92.16
April,129.02,157.06,164.00,136.70,92.06
May,123.49,150.19,158.48,130.38,87.56
June,124.97,152.02,159.76,130.51,90.25
July,119.77,144.52,154.45,123.64,87.12
August,121.21,146.96,156.92,127.24,85.78
September,113.14,135.55,146.15,117.83,81.50
October,118.43,143.10,153.25,127.47,82.78
November,115.03,138.63,147.98,122.95,81.74
December,114.63,139.89,148.66,123.73,79.28
,,,,,
January,110.89,135.21,145.03,121.21,74.71
February,111.75,137.17,147.70,122.24,74.04
March,117.83,145.20,157.50,130.38,75.60
April,117.93,143.66,154.22,128.10,80.18
May,119.91,144.49,155.19,129.05,83.93
June,127.05,156.86,165.45,138.38,85.94
July,132.98,164.46,171.76,144.76,90.82
August,131.00,160.78,167.54,141.41,91.79
September,138.22,168.85,176.30,149.80,96.88
October,142.68,172.28,178.96,153.15,103.65
November,145.82,177.85,184.12,157.72,103.72
December,131.70,156.64,161.78,137.14,101.85
,,,,,
January,139.07,164.96,168.61,145.70,108.32
February,137.68,163.67,166.35,145.50,106.49
March,134.07,158.40,160.15,139.67,106.73
April,130.39,154.97,155.40,136.09,103.58
May,125.40,151.41,150.00,131.21,98.36
June,122.39,146.12,143.22,123.71,101.95
July,127.26,152.51,149.66,129.19,104.94
August,128.24,155.15,149.88,131.93,104.52
September,124.46,151.47,146.56,129.67,99.18
October,120.01,144.26,140.71,124.55,98.39
November,117.26,144.09,140.90,124.28,91.33
December,114.00,141.62,137.42,121.47,87.59
,,,,,
January,115.60,143.77,138.81,123.67,88.65
February,114.19,141.50,136.28,120.83,89.24
March,112.99,139.45,135.03,119.80,88.18
April,112.56,139.29,134.34,118.76,88.31
May,113.34,140.26,135.61,119.57,88.74
June,110.44,138.55,134.03,115.10,86.07
July,107.20,133.92,130.60,110.54,84.42
August,102.41,129.99,125.21,104.46,80.74
September,98.17,125.74,121.18,99.87,76.70
October,111.21,140.83,137.34,115.59,85.32
November,109.59,139.27,137.11,113.27,83.52
December,100.61,127.86,127.10,102.10,77.57
,,,,,
January,101.56,129.28,128.46,102.94,78.24
February,100.67,127.93,128.45,100.06,78.65
March,97.50,125.23,123.89,95.81,76.96
April,94.42,124.42,121.13,92.47,73.28
May,93.33,124.40,120.55,91.95,71.12
June,99.97,133.49,129.73,100.69,74.02
July,103.01,137.63,135.47,105.43,73.93
August,96.07,129.20,126.23,95.85,70.78
September,97.74,131.91,128.89,98.72,70.64
October,97.35,132.09,126.99,98.10,68.63
November,107.23,146.12,140.98,109.94,73.28
December,117.37,161.50,157.11,126.36,73.22
